eval_id,customer_tweet_id,customer_created_at,customer_text,sampling_bucket,human_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,baseline_reply,reply_point_coverage,predicted_auto,correct_auto_decision,predicted_intent
11,620661,2017-11-22 17:10:55+00:00,"Nice J seat for me on AA107, love the 777-300 @AmericanAir https://t.co/tBf1yeo6aE",seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
12,86546,2017-11-30 14:07:02+00:00,"Hey, @AmericanAir, if my flight is going to be canceled on December 23, please let me know now and not later. I don’t want it to come to this, but I may have to find another airline who actually has pilots who are scheduled to fly.",cancellation_schedule,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
13,149668,2017-11-24 14:51:32+00:00,"@122986 let’s me know that this is how they get you. My research let me know I could most likely get seats for “free” if I select them closer to my flight date. That’s great news. But I have a bad memory. 

But this information was not easily accessible on the @AmericanAir site",accessibility,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
14,501122,2017-12-01 19:13:44+00:00,It's never to late to say THANKS - @AmericanAir our Thanksgiving travel was uneventful. #perfect#nocomplaints,flight_delay_status,flight_delay_status,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
15,653208,2017-11-22 21:16:40+00:00,"Unfortunately another @AmericanAir failure. My trusty carry on, checked out in the measuring device this afternoon, (have used it hundreds of times) was rejected and checked after being shoddily thrust into the measurer at an angle to “prove” it wouldn’t fit.",baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
16,648826,2017-11-22 19:21:30+00:00,@AmericanAir trying to request upgrade for a flight but it’s not letting me. Any tips? I want to use my 500-mile upgrades!,ambiguous_general,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
17,1050207,2017-11-25 18:44:37+00:00,"@AmericanAir After 4 different agents, I FINALLY got someone who could book it--after I pointed out that it was on https://t.co/jwZevlxWeT that it can be booked now. It seems the agents need some training on booking Reduced Mileage awards!",loyalty,loyalty,False,False,account_specific_issue,Explain general AAdvantage information and verify account details for account-specific requests.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
18,2861460,2017-11-27 22:29:01+00:00,Annnddddd my flight is delayed...let’s pray I don’t miss my connection to LA 🙄😒 Thanks @AmericanAir,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
19,1667125,2017-11-26 04:35:59+00:00,@AmericanAir Lost our premium seats on flight 2715 to CLT after your flight from SKB 318 was an hour late. Rebooked on 1928 but lost out seats $$ and priority boarding $$. When will you be refunding these fees? #bummer,lost_found,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
20,634316,2017-11-22 16:24:16+00:00,Dang @AmericanAir. Getting stingy with that bag rule. ✈ thought you were better than those discount airlines #smh #holidaytravel,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
21,2794680,2017-11-21 21:50:46+00:00,@AmericanAir Can’t afford to rebook! Getting through the airport with a broken ankle then standing in the wheelchair scan line for so long has me nervous. Plane leaves in 19 minutes!,accessibility,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.2,False,True,unknown
22,2664156,2017-11-25 23:33:57+00:00,Dear @AmericanAir please put a window at seat 10A on your 737. I feel claustrophobic closed in... I’m going to need this lil’ bag 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
23,2794694,2017-11-21 21:45:09+00:00,"Flying @AmericanAir on a day trip  to CMH thru CLT both ways. Delay out of CMH meant a sprint was forthcoming thru CLT. Gate agent @ b24 in CMH saw i might not make connex, booked me on next nonstop arriving an hour earlier. I'll get to see my 4yo on her bday. Thank you, AA!",ambiguous_general,rebooking_itinerary,True,True,,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
24,487032,2017-12-01 15:52:53+00:00,"@AmericanAir will you give customers ample notice if their flight is going to be cancelled or perhaps reroute customers to other flights so they can continue with their holiday plans? I am traveling American on December 23rd from BOS, PHL, LONDON.",cancellation_schedule,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
25,2954893,2017-11-29 18:38:50+00:00,@AmericanAir AA3753 waiting at the gate in Miami for 20 minutes before 1 of ur agents showed up to open door??! What’s happening here? Can we go home now?,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
26,667968,2017-11-23 03:36:27+00:00,@AmericanAir you guys are fucking awful I’m gonna dedicate the rest of my life to ruining your company,ambiguous_general,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
27,2828544,2017-11-27 11:49:37+00:00,"Seat reassigned to the back of the plane next to the toilets. So much for loyalty. What gives, @AmericanAir?",seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
28,623195,2017-11-22 17:55:00+00:00,"Boarded my plane to NY just to be deplaned 45 mins later.  On top of that, I got delayed 2 more times. I knew my 5 minute security experience was too good to be true this morning 🙄 @AmericanAir",flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
29,2829212,2017-11-27 12:16:01+00:00,"@19396 at LHR did awesome job rebooking us after @British_Airways flight was delayed -
 cabin crew &amp; Flight Connections utterly unhelpful and we missed our @AmericanAir flight. Grateful to Juan for the help!",rebooking_itinerary,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
30,2909949,2017-11-28 21:23:19+00:00,"@AmericanAir So I should be excited you’re only charging me $75 on top of bag fees because it’s not even more ridiculous at $200? Great response PR team!!! Keep up the great service. In the meantime, I’ll look to keep my 60-70 annual flights with southwest. #”status”",payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
31,514263,2017-12-01 23:52:12+00:00,Booked flights home with @AmericanAir last night and haven't received my confirmation email and stupidly didn't write down the booking reference number. #helpmeimdumb,booking,booking,False,False,case_specific_booking_issue,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
32,452328,2017-11-30 21:58:05+00:00,"Hey @AmericanAir: AA2295 delayed 2.5 hours, means we’ll miss connection home to our families tonight. Attendants say you won’t do anything to help once we arrive in Miami (food?  a place to sleep?). Say it ain’t so!  Please don’t let us lose faith in you . . . See you at MIA!",rebooking_itinerary,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
33,2841265,2017-11-27 16:45:08+00:00,"So on @delta app, I can easily get a reciept for a bag check fee. I can’t on @AmericanAir app, though. Need to weed through and fill out form with a ticket number I don’t have.  So I’m waiting for a callback from customer service.",booking,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
34,2881050,2017-11-28 08:32:13+00:00,"@British_Airways @AmericanAir Any chance that you guys can talk to each other and get my refund from over 3 weeks ago for the cancelled flights, lost luggage, etc? Getting beyond a joke now.",lost_found,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
35,169841,2017-11-24 21:30:18+00:00,3 days later I still don’t have my bags!! @AmericanAir @AlaskaAir,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
36,2721514,2017-11-26 23:12:29+00:00,How is it that I already have a ticket for a flight but upon choosing my seats I had to PAY for one???  @AmericanAir,booking,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
37,598608,2017-12-03 19:48:44+00:00,"@AmericanAir not sure how you managed to un-check me in after I checked in, checked a bag at the airport and paid to upgrade to a specific seat which will now be occupied by somebody else. #unhappycustomer",baggage,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
38,2520430,2017-11-26 19:38:36+00:00,So back at gate for a seat that was stuck in recline. Now pilot says he cant get more fuel to leave. Help #1599 out @AmericanAir k?,checkin_boarding_gate,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
39,592923,2017-12-03 17:53:38+00:00,"@AmericanAir It was very thought full if that stranger. My issue is that I had address my concerns about space 3 times prior to boarding and was assured there was plenty. When I boarded there was not, and one flight attendant was very rude and said I should just get on a different flight.",checkin_boarding_gate,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
40,497921,2017-12-01 18:21:48+00:00,"@233842 @AmericanAir I'm a double screener. I like to watch a show on the seatback and use my devices for work / social media, photos etc.",seat,onboard_services,True,True,,Provide information about onboard services and escalate current aircraft-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
41,600963,2017-12-03 21:21:19+00:00,Every time someone passes the open seat by you during flight boarding on a not full @AmericanAir flight. #travelblogger #comeon https://t.co/qtDVSMVU8U,seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
42,89903,2017-11-30 14:24:23+00:00,"When encountering #disability rights violations, I keep it to myself (or at least off the Internet), the majority of the time.

No more. Flying @AmericanAir today.

AA 5246 - Damaged power wheelchair
AA 1635 - Denied pre-boarding

#GoingForGreat - Yeah, right.

#travel #a11y",accessibility,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.2,False,True,unknown
43,89864,2017-11-30 14:55:41+00:00,Thank you @AmericanAir for refunding me my full ticket after I missed my flight last week due to the @120943 debacle in St. Thomas.,booking,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
44,150845,2017-11-24 15:03:21+00:00,"Wouldn’t that be information I would know, sir? So there wasn’t a chance. There was literally a 100% chance I would pay for my bag. 

All in all, i paid a couple hundred with @AmericanAir and learned not only did it not include my bad, but almost didn’t include a seat.",seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
45,1050215,2017-11-25 17:33:34+00:00,@AmericanAir  Can I ship my luggage 8 hours before the international flight in JFK?,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
46,648836,2017-11-22 18:55:24+00:00,.@274209 any idea why AA60 is at @136176 B772 from NRT-DFW diverted? @AmericanAir,ambiguous_general,general_complaint_or_other,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
47,688263,2017-11-23 13:53:45+00:00,@AmericanAir Thankfully no I got the ticket that @284425 was on so received a dozen updates. I made it to an island yesterday no problem 👍🏼,booking,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
48,603759,2017-12-03 22:41:05+00:00,My wife has been sitting on an @AmericanAir flight at LAX for 40 minutes waiting to leave the gate. They just told them “we don’t have a pilot” and asked everyone to get off the plane. Yep! Sure sounds like #AmericanAirlines has fixed their pilot issues.,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
49,2795875,2017-11-21 22:10:57+00:00,@AmericanAir why can’t I download my mobile boarding pass???? Try again later??? There is no later - I need to get on my plane!,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
50,2950351,2017-11-29 17:14:07+00:00,@AmericanAir $1100 for charge fees! A joke! You guys are straight losers,payment_fees_refund,payment_fees_refund,True,True,,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
51,489001,2017-12-01 16:54:47+00:00,@AmericanAir will do!,ambiguous_general,general_complaint_or_other,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
52,459219,2017-12-01 00:44:38+00:00,@AmericanAir When will I know if my flight is cancelled and I need to make other arrangements?,cancellation_schedule,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
53,2811865,2017-11-22 08:04:50+00:00,@AmericanAir is my flight seriously delayed because your catering staff can’t put the right carts on the right plane? #delayofgame,flight_delay_status,flight_delay_status,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
54,590243,2017-12-03 16:27:07+00:00,@AmericanAir y’all really have to get new episodes of tv shows on y’all flights. I’ve watched these same episodes over and over again. Lol,onboard_services,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
55,2913985,2017-11-28 22:39:19+00:00,"@AmericanAir #thanksgivingtravel worst trip ever U lost another customer Got 1st cls full price tix in May I did it right U had only 1 agent at bag check in,  4 of ur employees used ur system 2 virtually steal R seats @Delta how r u treating 1st class customers these days?",checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
56,2960842,2017-11-29 20:34:24+00:00,@AmericanAir So am I gonna be able to avoid a cancellation fee so I can rebook my flight with another airline so I can make sure I can actually get home for Christmas?,cancellation_schedule,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
57,539327,2017-12-02 14:33:43+00:00,@americanair Where is co-pilot for AA #679 FLL to CLT? 1.5 hour delay-and counting.  What comp will AA offer pax affected by AA buffoonery?,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
58,632331,2017-11-22 15:58:04+00:00,I mean @AmericanAir for destroying my suitcase :-) https://t.co/R3Yhuv2yUG,baggage,baggage,True,True,,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
59,2066756,2017-11-26 12:12:47+00:00,🙌🏼 @611167 Loved seeing this on my @AmericanAir flight. https://t.co/jww9YiEBRl,ambiguous_general,general_complaint_or_other,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
60,2835138,2017-11-27 20:30:41+00:00,@AmericanAir If I use my American Airlines credit card will I still free bags,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
61,177513,2017-11-25 00:48:49+00:00,"@AmericanAir AA 2461. Only bad experience was with rude, profane, unprofessional gate staff. Even other AA team members commented on their rudeness. Other passengers equally baffled with their treatment of us, as bag fit and there was adequate room.",baggage,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
62,478234,2017-12-01 12:22:40+00:00,"@AmericanAir Passenger is not elite status. Heard the conversation. Don’t mind paying, but do mind it being offered for free when I’ve paid",flight_delay_status,flight_delay_status,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
63,2859275,2017-11-27 22:02:20+00:00,"@AmericanAir Must be the holiday season or just #AAmazing employees, but second amazing encounter today.  Gate agent Giuseppe at MKE went above and beyond.  #Kudos!  #FeelingTheLove for #AmericanAirlines today!",checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
64,671478,2017-11-23 00:04:57+00:00,"After 14hours in Bermuda airport after our first plane broke, we are finally off. Huge thank you to the Bermuda @AmericanAir staff especially Chelsea Knight who managed to rebook our flights and co-ordinate our accomodation. #customerservice #partyof27 #rugby7s #ran7s https://t.co/GFnvESVzzN",rebooking_itinerary,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
65,2692181,2017-11-21 18:28:39+00:00,@AmericanAir That does me no good I have lost my funds on luggage fees on 2 trips your planes delay me and my schedule and you people don't even offer anything but a we hate delays also no that's wrong,payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
66,2912688,2017-11-28 22:14:26+00:00,"@AmericanAir Record locator sent via DM. On the plane and we’ve pushed back; other options aren’t going to be much help. Why would two people on a single reservation, both with elite status and confirmed aisle seats be split? Not to mention one being moved to a middle aisle seat.",loyalty,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
67,2970870,2017-11-30 00:28:11+00:00,So when are you going to let us know if our winter flights are cancelled @AmericanAir ? I'd rather just get a #refund now and fly another #airline to avoid having #holidays ruined. https://t.co/klnONcQvIo,payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
68,602879,2017-12-03 22:23:47+00:00,@AmericanAir I just got home and opened my bag send me a link with to do that. This is fucking annoying.,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
69,611766,2017-11-22 12:48:41+00:00,When u purchase a $1471 1st class tickt &amp; u r a gold Mbr &amp; @AmericanAir says “sry I can’t do anything to help u” #BadCustomerService #aa.com,booking,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
70,2887862,2017-11-28 13:07:27+00:00,"Dear @AmericanAir learn from @JetBlue they have an awesome WiFi, very fast, easy to use, and FREE!!",onboard_services,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
71,1426537,2017-11-26 01:12:10+00:00,@AmericanAir 60 minutes and counting waiting for bags off flight 1407 from ORD to MIA. Ticket in economy cost over 500. Where's my partial refund or other consideration for your incompetence,payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
72,522818,2017-12-02 03:52:31+00:00,"@AmericanAir Thank you for not resolving my problem, having 3 employees tell me different rules, lying to me &amp; cancelling my flight without my permission. While blaming me! Filing with BBB I see you've cancelled several peoples flights with no reason or notification POOR SERVICE!",cancellation_schedule,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
73,2924140,2017-11-29 02:43:01+00:00,@AmericanAir you suck ass stranded in Miami without my bags for the night because of a delayed flight so I missed the connecting. And to top it off you are separating me and and my 8 month pregnat wife on the next flight in the morning.,flight_delay_status,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
74,81085,2017-11-30 12:59:48+00:00,@AmericanAir I BOOK A FLIGHT BACK IN JUNE AND ALSO BOUGHT THE INSURANCE IN CASE OF CANCELLATION; TO DATE MY REFUND HAS BEEN DENIED..,cancellation_schedule,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
