eval_id,customer_tweet_id,customer_created_at,customer_text,sampling_bucket,human_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,retrieved_customer,baseline_reply,retrieval_similarity,reply_point_coverage,predicted_intent,predicted_auto,correct_auto_decision
16,648826,2017-11-22 19:21:30+00:00,@AmericanAir trying to request upgrade for a flight but it’s not letting me. Any tips? I want to use my 500-mile upgrades!,ambiguous_general,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,@AmericanAir Can Platinum members use 500-mile upgrades on award bookings?,@415213 Our Executive Platinum members are able to upgrade on award tickets. You can see more info here: https://t.co/2JRtNKeaB2,0.2516951071013725,0.0,unknown,False,True
17,1050207,2017-11-25 18:44:37+00:00,"@AmericanAir After 4 different agents, I FINALLY got someone who could book it--after I pointed out that it was on https://t.co/jwZevlxWeT that it can be booked now. It seems the agents need some training on booking Reduced Mileage awards!",loyalty,loyalty,False,False,account_specific_issue,Explain general AAdvantage information and verify account details for account-specific requests.,@AmericanAir thank you - I did HUCA and found someone who could help,"@167208 We're glad you were able to get someone to help. Please remember, we're just a tweet away.",0.17124503316777218,0.0,unknown,False,True
18,2861460,2017-11-27 22:29:01+00:00,Annnddddd my flight is delayed...let’s pray I don’t miss my connection to LA 🙄😒 Thanks @AmericanAir,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,@AmericanAir And now I'm likely to miss my connection to SFO,"@222986 If you need help with rebooking options, please see an agent, or call Reservations at 800-433-7300.",0.3511420505048123,0.0,unknown,False,True
19,1667125,2017-11-26 04:35:59+00:00,@AmericanAir Lost our premium seats on flight 2715 to CLT after your flight from SKB 318 was an hour late. Rebooked on 1928 but lost out seats $$ and priority boarding $$. When will you be refunding these fees? #bummer,lost_found,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,@AmericanAir Flight 1741 to CLT,@436318 Our apologies for the tarmac wait. We're planning to be wheels up in the next 15 minutes. Our pilots are waiting to be cleared for take-off.,0.19609313057117234,0.0,unknown,False,True
20,634316,2017-11-22 16:24:16+00:00,Dang @AmericanAir. Getting stingy with that bag rule. ✈ thought you were better than those discount airlines #smh #holidaytravel,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Seriously @AmericanAir I thought you were better than this. #aa641 #seatac Please address your staffing inadequacy!,@502472 We see it was cancelled due to aircraft maintenance. Please give us a call at 800-433-7300 to get rebooked.,0.4151396427530671,0.0,unknown,False,True
21,2794680,2017-11-21 21:50:46+00:00,@AmericanAir Can’t afford to rebook! Getting through the airport with a broken ankle then standing in the wheelchair scan line for so long has me nervous. Plane leaves in 19 minutes!,accessibility,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,@AmericanAir Currently standing in #LINE,"@649605 We're currently expecting to depart at 10:30a. Thanks for hanging in there, Cathy.",0.22525330727739662,0.0,unknown,False,True
22,2664156,2017-11-25 23:33:57+00:00,Dear @AmericanAir please put a window at seat 10A on your 737. I feel claustrophobic closed in... I’m going to need this lil’ bag 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,"@AmericanAir Really should put a notice when choosing a window seat that there is no Window at seat 10A and the wall sticks out 6 inches into your seat, this should be the greatest flight for 4 hours, not Happy https://t.co/IZIBzlXIyN",@739093 We're sorry you didn't know there wasn't a window. There's some duct work that's located there. Check with our crew for changes.,0.2565755973797249,0.0,unknown,False,False
23,2794694,2017-11-21 21:45:09+00:00,"Flying @AmericanAir on a day trip  to CMH thru CLT both ways. Delay out of CMH meant a sprint was forthcoming thru CLT. Gate agent @ b24 in CMH saw i might not make connex, booked me on next nonstop arriving an hour earlier. I'll get to see my 4yo on her bday. Thank you, AA!",ambiguous_general,rebooking_itinerary,True,True,,Review the itinerary and provide appropriate rebooking or itinerary-change options.,@AmericanAir That's the problem i might not make it,@145082 We see our airport team has you backed up on 2 different flights. The best option would be flight 1618 to MIA connecting to flight 39.,0.18789644204404982,0.0,unknown,False,False
24,487032,2017-12-01 15:52:53+00:00,"@AmericanAir will you give customers ample notice if their flight is going to be cancelled or perhaps reroute customers to other flights so they can continue with their holiday plans? I am traveling American on December 23rd from BOS, PHL, LONDON.",cancellation_schedule,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,@AmericanAir I am on their flight,@756760 Please have them reach out to us directly.,0.17539321567587224,0.0,unknown,False,False
25,2954893,2017-11-29 18:38:50+00:00,@AmericanAir AA3753 waiting at the gate in Miami for 20 minutes before 1 of ur agents showed up to open door??! What’s happening here? Can we go home now?,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",@394006 @AmericanAir Here we go.... https://t.co/Le3kd8LMmb,@337641 Absolutely stunning - we love a fiery sky. Glad to see that you're on you way and we appreciate you hanging in there.,0.216375090996798,0.0,unknown,False,True
26,667968,2017-11-23 03:36:27+00:00,@AmericanAir you guys are fucking awful I’m gonna dedicate the rest of my life to ruining your company,ambiguous_general,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,@AmericanAir you guys are responsible for the worst day of my life. Shame on you all.,@348357 We sense you're frustrated with us and we'd like to turn that around. Please DM your record locator and share what happened.,0.2897629172048202,0.0,unknown,False,True
27,2828544,2017-11-27 11:49:37+00:00,"Seat reassigned to the back of the plane next to the toilets. So much for loyalty. What gives, @AmericanAir?",seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,"@AmericanAir AA479. I’m in group 2, but calling 1-5 at the same time causes chaos. What gives? The dude in front is 8. So much for loyalty perks. https://t.co/uuOFTEZ610","@133678 We apologize for that, Talon. We never mean to make your experience anything but smooth, and that includes boarding.",0.29769652762518384,0.0,unknown,False,True
28,623195,2017-11-22 17:55:00+00:00,"Boarded my plane to NY just to be deplaned 45 mins later.  On top of that, I got delayed 2 more times. I knew my 5 minute security experience was too good to be true this morning 🙄 @AmericanAir",flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,"@AmericanAir Oh and on top of that, y'all lost my baggage AGAIN. Thanks",@190870 Please file a claim with our Baggage team at the airport. We want to reunite you quickly.,0.17937692072457592,0.0,unknown,False,True
29,2829212,2017-11-27 12:16:01+00:00,"@19396 at LHR did awesome job rebooking us after @British_Airways flight was delayed -
 cabin crew &amp; Flight Connections utterly unhelpful and we missed our @AmericanAir flight. Grateful to Juan for the help!",rebooking_itinerary,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,we missed our flight thanks @AmericanAir,"@522138 Oh no! If you're needing help with booking the next flight, please DM your record locator and details.",0.30859350321766227,0.0,unknown,False,True
30,2909949,2017-11-28 21:23:19+00:00,"@AmericanAir So I should be excited you’re only charging me $75 on top of bag fees because it’s not even more ridiculous at $200? Great response PR team!!! Keep up the great service. In the meantime, I’ll look to keep my 60-70 annual flights with southwest. #”status”",payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,@AmericanAir 4 flights with you this week. Two more in a few weeks. Keep up the great work!,@365625 We're looking forward to having you on board with us again!,0.21685252609072878,0.0,unknown,False,True
31,514263,2017-12-01 23:52:12+00:00,Booked flights home with @AmericanAir last night and haven't received my confirmation email and stupidly didn't write down the booking reference number. #helpmeimdumb,booking,booking,False,False,case_specific_booking_issue,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,@AmericanAir 65CPJX is my booking reference number.,@730743 We've received your DM and will respond shortly.,0.3561703354213994,0.0,unknown,False,True
32,452328,2017-11-30 21:58:05+00:00,"Hey @AmericanAir: AA2295 delayed 2.5 hours, means we’ll miss connection home to our families tonight. Attendants say you won’t do anything to help once we arrive in Miami (food?  a place to sleep?). Say it ain’t so!  Please don’t let us lose faith in you . . . See you at MIA!",rebooking_itinerary,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Say it ain't so! I have to fly 🛫 a segment in Jan '18 NOT with @AmericanAir 😯,"@122392 Oh no, Doug! We'll be very sad we won't get to see you in the new year 2018.",0.21631152658350059,0.0,unknown,False,True
33,2841265,2017-11-27 16:45:08+00:00,"So on @delta app, I can easily get a reciept for a bag check fee. I can’t on @AmericanAir app, though. Need to weed through and fill out form with a ticket number I don’t have.  So I’m waiting for a callback from customer service.",booking,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",@AmericanAir  I did. They forwarded me to go online and fill out a form. Probably the underlying issue in the customer service.,@489072 If you'd like to share your feedback via DM we'd be happy to take a closer look.,0.2236336038884449,0.0,unknown,False,True
34,2881050,2017-11-28 08:32:13+00:00,"@British_Airways @AmericanAir Any chance that you guys can talk to each other and get my refund from over 3 weeks ago for the cancelled flights, lost luggage, etc? Getting beyond a joke now.",lost_found,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,@AmericanAir Is that a joke? You get only automated replies. Can I talk to a human being please?,"@217066 Rest assured, our team is available. They'll go over your account with you. You can also call 800-433-7300 they can also transfer your call.",0.1789139258945224,0.0,unknown,False,True
35,169841,2017-11-24 21:30:18+00:00,3 days later I still don’t have my bags!! @AmericanAir @AlaskaAir,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",.... so still don't have my lost laptop back 😑 @AmericanAir,@331490 We still haven't located your laptop and when we do we'll contact you directly.,0.38663840766990154,0.0,unknown,False,True
36,2721514,2017-11-26 23:12:29+00:00,How is it that I already have a ticket for a flight but upon choosing my seats I had to PAY for one???  @AmericanAir,booking,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,"@AmericanAir already did that, already failed.",@580347 We're sorry for any wrong info given. We have to be able to inspect the damage in person to be able to determine liability.,0.2081460186681281,0.0,unknown,False,True
37,598608,2017-12-03 19:48:44+00:00,"@AmericanAir not sure how you managed to un-check me in after I checked in, checked a bag at the airport and paid to upgrade to a specific seat which will now be occupied by somebody else. #unhappycustomer",baggage,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",@AmericanAir Checked bag.,@275329 Please follow and DM your record locator along with additional details on how this happened. We'd like to take a closer look.,0.24876373272211974,0.0,unknown,False,True
38,2520430,2017-11-26 19:38:36+00:00,So back at gate for a seat that was stuck in recline. Now pilot says he cant get more fuel to leave. Help #1599 out @AmericanAir k?,checkin_boarding_gate,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,@AmericanAir why does the pilot think we need more fuel to land in ONT bs lax ? They pass it on the way to lax 🤔,@271975 We're showing an updated departure time of 4:50p. We're very sorry for the delay this afternoon.,0.1969890556077368,0.0,unknown,False,True
39,592923,2017-12-03 17:53:38+00:00,"@AmericanAir It was very thought full if that stranger. My issue is that I had address my concerns about space 3 times prior to boarding and was assured there was plenty. When I boarded there was not, and one flight attendant was very rude and said I should just get on a different flight.",checkin_boarding_gate,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,@AmericanAir Your check in attendant was very rude a week ago. At the Wilmington International Airport AA attendant was VERY nice to me.,"@675992 We expect our team to always be courteous and helpful, Jenny. Our apologies for any rudeness.",0.2181554405260725,0.0,unknown,False,True
40,497921,2017-12-01 18:21:48+00:00,"@233842 @AmericanAir I'm a double screener. I like to watch a show on the seatback and use my devices for work / social media, photos etc.",seat,onboard_services,True,True,,Provide information about onboard services and escalate current aircraft-specific problems.,@AmericanAir A+ social media.,@722401 Thanks!,0.37353805341749974,0.0,unknown,False,False
41,600963,2017-12-03 21:21:19+00:00,Every time someone passes the open seat by you during flight boarding on a not full @AmericanAir flight. #travelblogger #comeon https://t.co/qtDVSMVU8U,seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,@AmericanAir Full flight,@515709 Please check with a crewmember to see if they can charge your phone. This way you'll have a full charge by the time you land.,0.2543453600758767,0.0,unknown,False,True
42,89903,2017-11-30 14:24:23+00:00,"When encountering #disability rights violations, I keep it to myself (or at least off the Internet), the majority of the time.

No more. Flying @AmericanAir today.

AA 5246 - Damaged power wheelchair
AA 1635 - Denied pre-boarding

#GoingForGreat - Yeah, right.

#travel #a11y",accessibility,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,#aa #goingforgreat @AmericanAir https://t.co/dqlCMsfZKv,"@628362 What a lovely piece of desk ornamentation you have there, LOVE it!",0.2147448493794939,0.0,unknown,False,True
43,89864,2017-11-30 14:55:41+00:00,Thank you @AmericanAir for refunding me my full ticket after I missed my flight last week due to the @120943 debacle in St. Thomas.,booking,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,@AmericanAir i missed my flight,"@734985 Please work with our airport team for the next steps, Drea.",0.27051552265472256,0.0,unknown,False,True
44,150845,2017-11-24 15:03:21+00:00,"Wouldn’t that be information I would know, sir? So there wasn’t a chance. There was literally a 100% chance I would pay for my bag. 

All in all, i paid a couple hundred with @AmericanAir and learned not only did it not include my bad, but almost didn’t include a seat.",seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,@AmericanAir is it just me or should boarding not include a militant bag check #zerocustomerservice,@171336 We expect our team to be kind and courteous at all times. Sometimes we may ask you to gate check due to limited space.,0.17383223589488594,0.0,unknown,False,False
45,1050215,2017-11-25 17:33:34+00:00,@AmericanAir  Can I ship my luggage 8 hours before the international flight in JFK?,baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",@AmericanAir Btw loving the international WiFi!!,@188385 We know how important it is to stay connected. We're glad to here you're enjoying the WiFi.,0.26666698665747346,0.0,unknown,False,True
46,648836,2017-11-22 18:55:24+00:00,.@274209 any idea why AA60 is at @136176 B772 from NRT-DFW diverted? @AmericanAir,ambiguous_general,general_complaint_or_other,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,@AmericanAir my TSA Pre info disappeared from my account. Any idea why?,"@122820 It's still listed on your AAdvantage account. Is it not showing up on your reservation? If not, DM the number and your date of birth.",0.33474746499169367,0.0,unknown,False,False
47,688263,2017-11-23 13:53:45+00:00,@AmericanAir Thankfully no I got the ticket that @284425 was on so received a dozen updates. I made it to an island yesterday no problem 👍🏼,booking,general_complaint_or_other,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,@AmericanAir I made it! ❤️☺️❤️,"@360611 We're glad to see you made it! Time to sit back, relax and our crew will take great care of you.",0.251355815811751,0.0,unknown,False,True
48,603759,2017-12-03 22:41:05+00:00,My wife has been sitting on an @AmericanAir flight at LAX for 40 minutes waiting to leave the gate. They just told them “we don’t have a pilot” and asked everyone to get off the plane. Yep! Sure sounds like #AmericanAirlines has fixed their pilot issues.,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.","Come on @AmericanAir get somebody to lower the skybridge, been sitting on this plane for 20 minutes waiting to get off!! #ridiculous",@127788 Our team will be there to help! Thanks for your patience.,0.22424736888315247,0.0,unknown,False,True
49,2795875,2017-11-21 22:10:57+00:00,@AmericanAir why can’t I download my mobile boarding pass???? Try again later??? There is no later - I need to get on my plane!,checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",@americanair why is it taking so long to get my mobile boarding pass 😩,"@666401 Please DM your record locator, and we'll take a look.",0.36932574942607616,0.0,unknown,False,True
50,2950351,2017-11-29 17:14:07+00:00,@AmericanAir $1100 for charge fees! A joke! You guys are straight losers,payment_fees_refund,payment_fees_refund,True,True,,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,@AmericanAir you guys are the best!,"@204496 We think you're the best too, Brad! We hope to see you on board soon.",0.2984867049122236,0.0,unknown,False,False
51,489001,2017-12-01 16:54:47+00:00,@AmericanAir will do!,ambiguous_general,general_complaint_or_other,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,@AmericanAir Will do. Thanks.,@390622 We're glad you've reached out to us. We'll review your travel experience and contact you via DM shortly.,0.6909920285168064,0.0,unknown,False,False
52,459219,2017-12-01 00:44:38+00:00,@AmericanAir When will I know if my flight is cancelled and I need to make other arrangements?,cancellation_schedule,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,@AmericanAir Now flight is cancelled and no one even said anything. Nice @AmericanAir,@315110 We'd like to help you get rebooked. Please DM your record locator so we can take a peek.,0.2485227118575184,0.0,unknown,False,True
53,2811865,2017-11-22 08:04:50+00:00,@AmericanAir is my flight seriously delayed because your catering staff can’t put the right carts on the right plane? #delayofgame,flight_delay_status,flight_delay_status,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,"@81, @3510, @AmericanAir do the right thing! https://t.co/PnQFgdOag7","@743559 Since 2015, American has banned the transport of animal trophies. We have no plans to change our policy.",0.27138331995083,0.0,unknown,False,False
54,590243,2017-12-03 16:27:07+00:00,@AmericanAir y’all really have to get new episodes of tv shows on y’all flights. I’ve watched these same episodes over and over again. Lol,onboard_services,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,"@AmericanAir Again stuff that doesn't work AA 73 LAX-SYD entertainment system freezes, reset over and over again!! YUP ExP in 18H unhappy!!! https://t.co/IgLXsc8auu","@171943 We understand how that could be frustrating. If we're not full, you may want to check with our crew for any other seat options",0.2222853515470743,0.0,unknown,False,True
55,2913985,2017-11-28 22:39:19+00:00,"@AmericanAir #thanksgivingtravel worst trip ever U lost another customer Got 1st cls full price tix in May I did it right U had only 1 agent at bag check in,  4 of ur employees used ur system 2 virtually steal R seats @Delta how r u treating 1st class customers these days?",checkin_boarding_gate,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",@AmericanAir That's how you treat first-class customers?,@578024 We're sorry for any rudeness from our team. We always want to treat you with kindness and respect and we're sorry that wasn't the case.,0.15128457580378235,0.0,unknown,False,True
56,2960842,2017-11-29 20:34:24+00:00,@AmericanAir So am I gonna be able to avoid a cancellation fee so I can rebook my flight with another airline so I can make sure I can actually get home for Christmas?,cancellation_schedule,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Another delay @AmericanAir seriously fucking rebook me to another Airline so I can actually get to Philadelphia this week! You guys can keep all my miles I'll never fly with you again,"@228426 We're sorry for your delay, but safety is our top priority. We'll have an update on the status of your flight shortly.",0.2754349741746939,0.0,unknown,False,True
57,539327,2017-12-02 14:33:43+00:00,@americanair Where is co-pilot for AA #679 FLL to CLT? 1.5 hour delay-and counting.  What comp will AA offer pax affected by AA buffoonery?,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Hey @AmericanAir - are today’s flights AA4965 (to CLT) and AA1966 (to DFW) affected by hurricane Nate?,@192806 We're showing both flights are currently on time but you can keep and eye on the status here: https://t.co/hSJ3SkyGEd,0.23107220011551324,0.1111111111111111,unknown,False,True
58,632331,2017-11-22 15:58:04+00:00,I mean @AmericanAir for destroying my suitcase :-) https://t.co/R3Yhuv2yUG,baggage,baggage,True,True,,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",Special Shoutout to @AmericanAir for ruining my suitcase!!! https://t.co/lpjDLvfyk4,"@516591 We're sorry about that, Christine. Please file a claim with our Baggage Service Office.",0.3199469545371816,0.18181818181818182,unknown,False,False
