eval_id,customer_text,human_intent,predicted_intent,intent_confidence,retrieved_customer_text,retrieved_support_text,retrieval_similarity,retrieved_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,retrieval_evidence,system_decision,system_reason,human_decision,human_evidence,system_evidence
11,"Nice J seat for me on AA107, love the 777-300 @AmericanAir https://t.co/tBf1yeo6aE",seat,seat,0.15899228693760398,On my way to the @93846 with @93847. Looking forward to the @93848 presentations.  #ASCPhilly thanks @AmericanAir for the nice seat.,"@691851 Thanks, Beth for including us in your travel plans. Have an AAwesome trip!",0.215985096984868,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
12,"Hey, @AmericanAir, if my flight is going to be canceled on December 23, please let me know now and not later. I don’t want it to come to this, but I may have to find another airline who actually has pilots who are scheduled to fly.",cancellation_schedule,payment_fees_refund,0.16555733750574606,@AmericanAir please let me go home tomorrow and not Friday! Change fees are terrible! @SouthwestAir you rock!,"@418413 When flexibility is needed, we do offer fares without change charges. We'll gladly check the rules of your fare. Please DM your locator.",0.12453976584219845,payment_fees_refund,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
13,"@122986 let’s me know that this is how they get you. My research let me know I could most likely get seats for “free” if I select them closer to my flight date. That’s great news. But I have a bad memory. 

But this information was not easily accessible on the @AmericanAir site",booking,seat,0.17127695638492263,@AmericanAir The site wouldn’t let me select a seat. I haven’t encountered that issue before- is it normal?,@185789 We're showing the seats currently available on the flight are blocked out by our airport team. Please see an agent when you arrive.,0.1689339704221021,seat,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
14,It's never to late to say THANKS - @AmericanAir our Thanksgiving travel was uneventful. #perfect#nocomplaints,flight_delay_status,rebooking_itinerary,0.07500096489591579,@AmericanAir Try to book early but the get notice about the school program. Too late to change flight though. It never works out. #ihatelife,@456956 Check back with us within 24 hrs. of your flight to see if the Same Day Flight Change is available.,0.15807226541637492,rebooking_itinerary,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,False,ESCALATE,low_intent_confidence,AUTO,SUFFICIENT,INSUFFICIENT
15,"Unfortunately another @AmericanAir failure. My trusty carry on, checked out in the measuring device this afternoon, (have used it hundreds of times) was rejected and checked after being shoddily thrust into the measurer at an angle to “prove” it wouldn’t fit.",baggage,baggage,0.1626524545203797,@AmericanAir It fits in the sizer too. Not sure why I always have to prove it at check-in. Fairly average rolly carry-on bag. :(,"@460762 We appreciate your feedback, and apologize for the inconvenience it caused you.",0.19780890575430404,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
16,@AmericanAir trying to request upgrade for a flight but it’s not letting me. Any tips? I want to use my 500-mile upgrades!,general_complaint_or_other,payment_fees_refund,0.130300317974278,@AmericanAir Trying to pay with gift card for a flight LGA to DFW but it's not showing as an option on payment screen?  Any help?,"@183998 If you give our Web Tech Support team a call, they'll be able to help you navigate to the right area: https://t.co/9JTaYxpILx",0.14505204241264424,payment_fees_refund,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
17,"@AmericanAir After 4 different agents, I FINALLY got someone who could book it--after I pointed out that it was on https://t.co/jwZevlxWeT that it can be booked now. It seems the agents need some training on booking Reduced Mileage awards!",loyalty,booking,0.1617601239577453,@AmericanAir Yep. Tried that. Can't book it.,@213679 You can always contact Reservations at 800-433-7300. They can verify what the current pricing available.,0.13625642224555273,booking,False,False,account_specific_issue,Explain general AAdvantage information and verify account details for account-specific requests.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
18,Annnddddd my flight is delayed...let’s pray I don’t miss my connection to LA 🙄😒 Thanks @AmericanAir,flight_delay_status,rebooking_itinerary,0.2980263343265303,@AmericanAir And now I'm likely to miss my connection to SFO,"@222986 If you need help with rebooking options, please see an agent, or call Reservations at 800-433-7300.",0.35091545657085543,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,True,ESCALATE,high_risk_intent,ESCALATE,INSUFFICIENT,SUFFICIENT
19,@AmericanAir Lost our premium seats on flight 2715 to CLT after your flight from SKB 318 was an hour late. Rebooked on 1928 but lost out seats $$ and priority boarding $$. When will you be refunding these fees? #bummer,payment_fees_refund,seat,0.16543985551184678,"I bought an upgrade for priority seating and priority boarding from @AmericanAir it was advertised as priority seat &amp; priority boarding. The seat was upgraded but i was assigned ""group 5"". Does anyone think group 5 is priority boarding? #truthinadvertising @Delta @6660",@680174 Our apologies for any confusion. We have 9 boarding groups and group 5 is for Preferred boarding. Here's more info: https://t.co/ro6Ga4r4c4,0.14999265617658042,seat,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
20,Dang @AmericanAir. Getting stingy with that bag rule. ✈ thought you were better than those discount airlines #smh #holidaytravel,baggage,baggage,0.09829355126083868,@AmericanAir 2/2 get that bag home. #CustomerService,"@699106 This concerns us, Vanessa. Please meet us in DMs, and let us know what's going on.",0.22668676968496387,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",False,ESCALATE,low_intent_confidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
21,@AmericanAir Can’t afford to rebook! Getting through the airport with a broken ankle then standing in the wheelchair scan line for so long has me nervous. Plane leaves in 19 minutes!,accessibility,accessibility,0.13997616927449597,"@AmericanAir we appreciate the wheelchair service, however we get forgotten in no man's land for hours! #LessAbleNeedBetter","@642777 This concerns us, Valerie. Please meet us in DM with your record locator and more info.",0.12458890620354399,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
22,Dear @AmericanAir please put a window at seat 10A on your 737. I feel claustrophobic closed in... I’m going to need this lil’ bag 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,seat,seat,0.13328860185500765,"@AmericanAir Really should put a notice when choosing a window seat that there is no Window at seat 10A and the wall sticks out 6 inches into your seat, this should be the greatest flight for 4 hours, not Happy https://t.co/IZIBzlXIyN",@739093 We're sorry you didn't know there wasn't a window. There's some duct work that's located there. Check with our crew for changes.,0.25656320260025073,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,True,AUTO,sufficient_evidence_low_risk,AUTO,SUFFICIENT,SUFFICIENT
23,"Flying @AmericanAir on a day trip  to CMH thru CLT both ways. Delay out of CMH meant a sprint was forthcoming thru CLT. Gate agent @ b24 in CMH saw i might not make connex, booked me on next nonstop arriving an hour earlier. I'll get to see my 4yo on her bday. Thank you, AA!",rebooking_itinerary,checkin_boarding_gate,0.14705031583130354,".@AmericanAir Flt 562 to CMH on the tarmac for 30 minutes, now returning to the gate. Computer issues? New ETD?",@411843 We're sorry for the delay today. We're currently showing an estimated time of departure of 4:45p.,0.1190044095748665,checkin_boarding_gate,True,True,,Review the itinerary and provide appropriate rebooking or itinerary-change options.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
24,"@AmericanAir will you give customers ample notice if their flight is going to be cancelled or perhaps reroute customers to other flights so they can continue with their holiday plans? I am traveling American on December 23rd from BOS, PHL, LONDON.",cancellation_schedule,cancellation_schedule,0.17304271970950955,@AmericanAir We (all the passengers) need to know if this flight is going to be cancelled so that we can rebook with another airline,@539647 We'll have you wheels up at 9:50p. The plan is still to fly.,0.17438906630208711,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
25,@AmericanAir AA3753 waiting at the gate in Miami for 20 minutes before 1 of ur agents showed up to open door??! What’s happening here? Can we go home now?,checkin_boarding_gate,checkin_boarding_gate,0.21281625221717843,@AmericanAir Would you please wake up the gate crew at ORD K17? Been parked outside and waiting for 20 minutes. Annoying.,"@383873 Our apologies, our team should be there any moment to get you to the gate.",0.17497180232718335,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
26,@AmericanAir you guys are fucking awful I’m gonna dedicate the rest of my life to ruining your company,general_complaint_or_other,payment_fees_refund,0.10808932552826267,"@AmericanAir Yeah, still can't load anything, honestly wish I could just get a refund and not have Wi-Fi the rest of the flight.","@333439 Let's meet in DMs, we'd like to provide you with some info.",0.1792954033449922,payment_fees_refund,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,False,ESCALATE,low_intent_confidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
27,"Seat reassigned to the back of the plane next to the toilets. So much for loyalty. What gives, @AmericanAir?",seat,seat,0.20401503668249954,@AmericanAir Everyone on 4418 that had seats between 4 and 7 is now in the back of the plane. What gives? This is priority? Joke. From 5 to 20...,@260520 It looks like we had a last minute equipment change. We're very sorry for the frustration.,0.27224549364962425,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
28,"Boarded my plane to NY just to be deplaned 45 mins later.  On top of that, I got delayed 2 more times. I knew my 5 minute security experience was too good to be true this morning 🙄 @AmericanAir",flight_delay_status,flight_delay_status,0.14416442697751486,somehow @AmericanAir (when i'm headed for D.C) lands in Dallas and then delays my flight 3 hours on top of that.,"@303689 We know delays are far from ideal, and we truly apologize for this wait. We appreciate your patience.",0.1554972502824885,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
29,"@19396 at LHR did awesome job rebooking us after @British_Airways flight was delayed -
 cabin crew &amp; Flight Connections utterly unhelpful and we missed our @AmericanAir flight. Grateful to Juan for the help!",rebooking_itinerary,flight_delay_status,0.16557341660370742,"@AmericanAir..our flight was delayed due to engine, but the flight crew is Amazing!!!!! #Flight1074",@652868 We appreciate your shout-out to the crew! #AATeam,0.17392035615492882,flight_delay_status,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
30,"@AmericanAir So I should be excited you’re only charging me $75 on top of bag fees because it’s not even more ridiculous at $200? Great response PR team!!! Keep up the great service. In the meantime, I’ll look to keep my 60-70 annual flights with southwest. #”status”",payment_fees_refund,payment_fees_refund,0.17167173428259747,@AmericanAir so far you're only offering her a $60 credit--not even a refund let alone the new ticket she had to buy from another airline...,@199918 We'll be glad to review her fare rules and ticket info. Please have her reach out to us directly or provide her booking info via DM.,0.14594630200037806,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
31,Booked flights home with @AmericanAir last night and haven't received my confirmation email and stupidly didn't write down the booking reference number. #helpmeimdumb,booking,booking,0.13115088152396984,@AmericanAir 65CPJX is my booking reference number.,@730743 We've received your DM and will respond shortly.,0.3562474037377449,booking,False,False,case_specific_booking_issue,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
32,"Hey @AmericanAir: AA2295 delayed 2.5 hours, means we’ll miss connection home to our families tonight. Attendants say you won’t do anything to help once we arrive in Miami (food?  a place to sleep?). Say it ain’t so!  Please don’t let us lose faith in you . . . See you at MIA!",rebooking_itinerary,rebooking_itinerary,0.14595472889611844,@AmericanAir I’ll miss my connection. Thanks.,"@531695 If the connection will be missed, would you prefer to fly out in the morning? Please follow and DM and we can check available options.",0.1362360187134244,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
33,"So on @delta app, I can easily get a reciept for a bag check fee. I can’t on @AmericanAir app, though. Need to weed through and fill out form with a ticket number I don’t have.  So I’m waiting for a callback from customer service.",baggage,booking,0.16533313285451576,"@AmericanAir Just bought a ticket on https://t.co/QNBWG2QDDR last night, saw it wasn't ticketed. Called in, they ticket it. Then see on my receipt a $25 telephone fee that no one told me about. Call back, they say I have to wait 24 hours and fill out a form. Ridiculous.","@614235 James, we're sorry you weren't aware of this fee when you called. Please DM your record locator so we can take a closer look at your booking",0.168885650608042,booking,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
34,"@British_Airways @AmericanAir Any chance that you guys can talk to each other and get my refund from over 3 weeks ago for the cancelled flights, lost luggage, etc? Getting beyond a joke now.",payment_fees_refund,cancellation_schedule,0.17937785647925955,@AmericanAir who can help me with a refund? I️ cancelled a flight within 24hr hours three weeks ago and still haven’t received my refund????,"@517996 We can take a peek to see why you haven't received a refund. Send us your info thru DMs, please.",0.16876207179593578,cancellation_schedule,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
35,3 days later I still don’t have my bags!! @AmericanAir @AlaskaAir,baggage,baggage,0.13677676917994486,@AmericanAir By the way... I still don’t have my luggage... customer service still sucks!!,@489303 We're very sorry for the wait in getting you reunited. Please file a claim with our Baggage Service Office.,0.371763260840111,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
36,How is it that I already have a ticket for a flight but upon choosing my seats I had to PAY for one???  @AmericanAir,seat,booking,0.19063436837804365,"@AmericanAir Not when I called customer service this am you didn’t @AmericanAir I already have a ticket and wanted to change it and was told sorry, use it (as is) or lose it!","@270387 Some fares are more flexible than others, please DM your record locator, and a bit more information on the change you're wanting to make.",0.15568968487027496,booking,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
37,"@AmericanAir not sure how you managed to un-check me in after I checked in, checked a bag at the airport and paid to upgrade to a specific seat which will now be occupied by somebody else. #unhappycustomer",checkin_boarding_gate,baggage,0.18338193925215687,@AmericanAir Checked bag.,@275329 Please follow and DM your record locator along with additional details on how this happened. We'd like to take a closer look.,0.24864383345057495,baggage,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
38,So back at gate for a seat that was stuck in recline. Now pilot says he cant get more fuel to leave. Help #1599 out @AmericanAir k?,flight_delay_status,checkin_boarding_gate,0.1651294003496855,"@AmericanAir now it's flight 1038. A plane that was at DFW overnight. Pushed back, now back at gate.",@562197 Our Maintenance team is looking over the plane now and then we'll have you on your way again. Our apologies for any inconvenience caused.,0.18196610709482766,checkin_boarding_gate,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
39,"@AmericanAir It was very thought full if that stranger. My issue is that I had address my concerns about space 3 times prior to boarding and was assured there was plenty. When I boarded there was not, and one flight attendant was very rude and said I should just get on a different flight.",seat,checkin_boarding_gate,0.13851289492719002,@AmericanAir Your check in attendant was very rude a week ago. At the Wilmington International Airport AA attendant was VERY nice to me.,"@675992 We expect our team to always be courteous and helpful, Jenny. Our apologies for any rudeness.",0.21803307132966604,checkin_boarding_gate,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
40,"@233842 @AmericanAir I'm a double screener. I like to watch a show on the seatback and use my devices for work / social media, photos etc.",onboard_services,payment_fees_refund,0.10818987628886188,@594957 @AmericanAir Lol? How is that funny? Seriously- who is in charge of your social media account?,@216050 We'd like to send this to the appropriate team for internal review. Please DM the info we requested.,0.14446829351795973,payment_fees_refund,True,True,,Provide information about onboard services and escalate current aircraft-specific problems.,False,ESCALATE,low_intent_confidence,AUTO,SUFFICIENT,INSUFFICIENT
41,Every time someone passes the open seat by you during flight boarding on a not full @AmericanAir flight. #travelblogger #comeon https://t.co/qtDVSMVU8U,seat,seat,0.12524725658152402,@245715 @AmericanAir One open seat.,"@185393 We're sorry your trip isn't going as planned, Enrique. We're glad to see that you're now on board and headed to your destination.",0.21580364564908638,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
42,"When encountering #disability rights violations, I keep it to myself (or at least off the Internet), the majority of the time.

No more. Flying @AmericanAir today.

AA 5246 - Damaged power wheelchair
AA 1635 - Denied pre-boarding

#GoingForGreat - Yeah, right.

#travel #a11y",accessibility,accessibility,0.15013819503286735,@119137 @AmericanAir this was before they received an airport wheelchair. The traveler had to walk 15 meters to a chair.#disability,@599693 This concerns us as we want to make sure all of our customers are properly helped. Please share any additional details via DM for review.,0.09516620981495158,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
43,Thank you @AmericanAir for refunding me my full ticket after I missed my flight last week due to the @120943 debacle in St. Thomas.,payment_fees_refund,rebooking_itinerary,0.16024502362600232,@AmericanAir Also let me tell you about the trashy hotel you put me up in last night after I missed my connection due to “mechanical” error. #bedazzled,"@672148 We know the wait at security is frustrating. Once you're through, our gate team will take great care of you.",0.19247018154826231,rebooking_itinerary,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
44,"Wouldn’t that be information I would know, sir? So there wasn’t a chance. There was literally a 100% chance I would pay for my bag. 

All in all, i paid a couple hundred with @AmericanAir and learned not only did it not include my bad, but almost didn’t include a seat.",seat,baggage,0.16592922964682985,@AmericanAir is it just me or should boarding not include a militant bag check #zerocustomerservice,@171336 We expect our team to be kind and courteous at all times. Sometimes we may ask you to gate check due to limited space.,0.17383772019173707,baggage,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,insufficient_historical_evidence,AUTO,SUFFICIENT,INSUFFICIENT
45,@AmericanAir  Can I ship my luggage 8 hours before the international flight in JFK?,baggage,baggage,0.1343851129394937,@AmericanAir Where is my luggage 😡,@564855 Did you file a claim with our Baggage Service Office? DM the claim number and we'll check on an update.,0.19103852538836438,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
46,.@274209 any idea why AA60 is at @136176 B772 from NRT-DFW diverted? @AmericanAir,general_complaint_or_other,checkin_boarding_gate,0.06969168450137207,@AmericanAir twice recently when coming off international flights I have not been on the upgrade waitlist at the gate - any idea why?,"@331665 We can certainly take a look, Keith. Which flight did this happen on?",0.2712586765584769,checkin_boarding_gate,True,True,,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,True,ESCALATE,low_intent_confidence,AUTO,SUFFICIENT,SUFFICIENT
47,@AmericanAir Thankfully no I got the ticket that @284425 was on so received a dozen updates. I made it to an island yesterday no problem 👍🏼,general_complaint_or_other,booking,0.15630526921348584,@AmericanAir @140508 $4K in airfare to an island completely devastated by hurricane. @140508 rep said don't buy non refundable ticket next time!???,@297561 We have a travel waiver program in affect which allows for changes to SJU. Please take a peek here for more info: https://t.co/kNkPUilgez,0.17541168683377267,booking,False,False,complaint_or_human_review_required,Acknowledge the customer and provide an appropriate response without inventing unsupported information.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
48,My wife has been sitting on an @AmericanAir flight at LAX for 40 minutes waiting to leave the gate. They just told them “we don’t have a pilot” and asked everyone to get off the plane. Yep! Sure sounds like #AmericanAirlines has fixed their pilot issues.,checkin_boarding_gate,checkin_boarding_gate,0.20504588400049564,"@AmericanAir AA1402, waited 40 minutes to get off the plane, still no gate agent?","@424496 Our sincere apologies for the wait. If you still need assistance, then go to any of our team at any gate.",0.21278654556946075,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
49,@AmericanAir why can’t I download my mobile boarding pass???? Try again later??? There is no later - I need to get on my plane!,checkin_boarding_gate,checkin_boarding_gate,0.172277409105652,@americanair why is it taking so long to get my mobile boarding pass 😩,"@666401 Please DM your record locator, and we'll take a look.",0.3691934004795468,checkin_boarding_gate,False,False,time_sensitive_airport_issue,"Provide check-in, boarding, or gate guidance and escalate time-sensitive airport issues.",True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
